x,y,designator
6412,5062,U1
711,2340,U68
6975,3613,U8
2371,2150,U72
1417,-921,U55
-254,3180,U45
1189,3781,U26
1605,1527,U65
-86,2767,U46
6105,1611,U81
2806,2106,U73
-762,4445,U42
8203,3670,U91
1784,689,U63
6591,2590,U12
5287,2606,U15
3665,2231,U75
5651,4652,U3
2151,-564,U60
754,700,U51
-923,4864,U41
1485,5500,U30
1257,4211,U27
7831,1619,U85
6567,3740,U7
7024,2647,U11
8662,2922,U89
588,1105,U50
2387,3471,U22
-482,6441,U37
1116,2500,U69
7328,3357,U9
251,1937,U48
8241,1761,U86
-1015,5301,U40
4523,2324,U77
1703,3316,U24
1270,3357,U25
1086,-116,U53
-423,3599,U44
4091,2305,U76
344,6699,U35
83,2351,U47
1529,2378,U70
7401,1584,U84
5727,3953,U5
3181,3118,U20
-966,5739,U39
1559,5930,U31
2779,3284,U21
2306,-1416,U58
7581,4820,U94
4858,2661,U16
4945,2209,U78
1409,5070,U29
1779,1124,U64
8548,2071,U87
416,1521,U49
1333,4641,U28
1988,3643,U23
8703,2484,U88
1852,260,U62
6839,5141,U96
2319,-975,U59
779,6702,U34
811,1908,U67
6969,1559,U83
3591,2974,U19
7369,2922,U10
1583,-1323,U56
6159,2566,U13
1537,6362,U32
1909,-1606,U57
8450,3311,U90
3238,2150,U74
7274,5130,U95
1211,1720,U66
920,292,U52
1947,2247,U71
5725,2571,U14
1988,-159,U61
7972,4042,U92
4428,2740,U17
6537,1551,U82
5331,2008,U79
4004,2846,U18
1250,-519,U54
-88,6634,U36
6007,4899,U2
5431,4274,U4
-784,6134,U38
5703,1780,U80
7776,4431,U93
-591,4018,U43
6140,3828,U6
1208,6650,U33
