x,y
6413,33
710,2755
6975,1482
2371,2946
1418,6017
-254,1915
1189,1314
1605,3569
-86,2329
6105,3484
2806,2989
-762,650
8203,1426
1784,4407
6592,2505
5288,2489
3665,2864
5652,444
2152,5660
755,4396
-923,231
1485,-405
1257,884
7831,3476
6567,1355
7024,2448
8662,2173
588,3990
2387,1624
-482,-1346
1116,2595
7328,1738
251,3158
8241,3335
-1015,-206
4523,2772
1703,1779
1271,1738
1086,5212
-423,1497
4092,2791
344,-1604
83,2744
1529,2717
7402,3511
5727,1143
3181,1977
-966,-644
1558,-835
2779,1812
2306,6512
7581,275
4857,2434
4945,2886
1409,25
1779,3971
8549,3025
416,3574
1333,454
1988,1453
8703,2612
1853,4836
6839,-46
2319,6071
779,-1606
811,3188
6969,3536
3592,2122
7369,2173
1583,6419
6159,2530
1537,-1267
1909,6702
8451,1785
3239,2946
7274,-35
1211,3375
920,4804
1947,2848
5725,2525
1988,5255
7973,1053
4429,2356
6538,3545
5331,3087
4004,2249
1250,5615
-88,-1539
6007,197
5431,822
-785,-1038
5703,3315
7777,664
-591,1078
6141,1268
1208,-1555
